split_seed,method,method_label,round,n_initial_train,n_acquired,n_train_total,n_pool_remaining,n_test,catastrophic_threshold,n_catastrophic_errors,catastrophic_error_rate,mean_abs_log_error,median_abs_log_error,max_abs_log_error,rmse_log_error,signed_log_error_mean,gate_fallback_count
1,gp_m52_ei,GP M52 + EI,1,15,5,20,35,40,1.0,24,0.6,3.848727492327156,2.074854572961968,11.953828499481324,5.745244933834646,-3.6313202798587754,0
1,gp_m52_ei,GP M52 + EI,2,15,10,25,30,40,1.0,23,0.575,3.5517869608619903,1.650444234320572,11.344435804907066,5.416348241945399,-3.355761757457747,0
1,gp_m52_ei,GP M52 + EI,3,15,15,30,25,40,1.0,15,0.375,2.194621388703496,0.5621157437189028,10.856476588192956,4.002481469866443,-1.910273334678982,0
1,gp_m52_ei,GP M52 + EI,4,15,20,35,20,40,1.0,14,0.35,2.0841280374831506,0.3302952560537502,10.856476588192956,3.910921517514619,-1.5345841119116344,0
1,gp_m52_ei,GP M52 + EI,5,15,25,40,15,40,1.0,17,0.425,2.627800837923549,0.3234460118477589,10.856476588192956,4.469371887692309,-2.4320190177609327,0
1,gp_m52_ei,GP M52 + EI,6,15,30,45,10,40,1.0,16,0.4,2.475844821699462,0.3271703315176717,10.856476588192956,4.331925012201639,-2.2027248900240126,0
1,gp_m52_ei,GP M52 + EI,7,15,35,50,5,40,1.0,14,0.35,2.4845521675733715,0.349244401467355,10.856476588192956,4.333914498380214,-2.2022238382060126,0
1,gp_m52_ei,GP M52 + EI,8,15,40,55,0,40,1.0,16,0.4,2.368029796127997,0.3632193199481186,10.856476588192956,4.226202505576361,-1.9333407148983972,0
1,pi_random_exploration,GP M52 PI + Random Exploration,0,15,0,15,40,40,1.0,20,0.5,3.5875638601888924,1.0069265381972443,11.344435804907066,5.50520596703289,-3.505945117283358,0
1,pi_random_exploration,GP M52 PI + Random Exploration,1,15,5,20,35,40,1.0,21,0.525,3.5930170830465364,1.111656065780355,11.344435804907066,5.5308939940733906,-3.4244660249209447,0
1,pi_random_exploration,GP M52 PI + Random Exploration,2,15,10,25,30,40,1.0,22,0.55,3.7832900736422617,1.6562380545136413,11.953828499481324,5.728483383544018,-3.523574613430296,0
1,pi_random_exploration,GP M52 PI + Random Exploration,3,15,15,30,25,40,1.0,22,0.55,3.2566864283523955,1.1403430682029554,11.953828499481324,5.2445848683042815,-3.0132308194241406,0
1,pi_random_exploration,GP M52 PI + Random Exploration,4,15,20,35,20,40,1.0,15,0.375,2.207302959096983,0.3607862918579361,10.856476588192956,4.028286125295402,-1.77992937402296,0
1,pi_random_exploration,GP M52 PI + Random Exploration,5,15,25,40,15,40,1.0,14,0.35,2.194399637082447,0.3102544502979318,10.856476588192956,4.023565173203456,-1.7022998433501868,0
1,pi_random_exploration,GP M52 PI + Random Exploration,6,15,30,45,10,40,1.0,15,0.375,2.5063727193268384,0.3521804462743114,10.856476588192956,4.3428529307987045,-2.155087517092555,0
1,pi_random_exploration,GP M52 PI + Random Exploration,7,15,35,50,5,40,1.0,16,0.4,2.655116366854253,0.3538057139065085,10.856476588192956,4.4769267826751875,-2.3678968724765435,0
1,pi_random_exploration,GP M52 PI + Random Exploration,8,15,40,55,0,40,1.0,16,0.4,2.368029796127997,0.3632193199481186,10.856476588192956,4.226202505576361,-1.9333407148983972,0
1,pi_uncertainty,PI + Uncertainty,0,15,0,15,40,40,1.0,20,0.5,3.5875638601888924,1.0069265381972443,11.344435804907066,5.50520596703289,-3.505945117283358,0
1,pi_uncertainty,PI + Uncertainty,1,15,5,20,35,40,1.0,23,0.575,4.002418569121415,1.364035927035033,11.953828499481324,5.934176425623533,-3.921727271722594,0
1,pi_uncertainty,PI + Uncertainty,2,15,10,25,30,40,1.0,24,0.6,3.7790505688843425,1.4983481506255556,11.953828499481324,5.720397689980965,-3.5756573582248423,0
1,pi_uncertainty,PI + Uncertainty,3,15,15,30,25,40,1.0,25,0.625,3.8160551599333177,1.7076967151187263,11.953828499481324,5.729960920786794,-3.576719991004103,0
1,pi_uncertainty,PI + Uncertainty,4,15,20,35,20,40,1.0,18,0.45,2.317642608125503,0.8610620367076915,10.856476588192956,4.030710285255375,-1.9971777742767411,0
1,pi_uncertainty,PI + Uncertainty,5,15,25,40,15,40,1.0,15,0.375,2.481549923995201,0.404011372720733,10.856476588192956,4.333404165836637,-2.328933833539001,0
1,pi_uncertainty,PI + Uncertainty,6,15,30,45,10,40,1.0,16,0.4,2.5052823476573622,0.3899285946287065,10.856476588192956,4.336200376604093,-2.1755720306477095,0
1,pi_uncertainty,PI + Uncertainty,7,15,35,50,5,40,1.0,15,0.375,2.3776387108110972,0.3660717271885225,10.856476588192956,4.228483594613976,-1.9391411827524323,0
1,pi_uncertainty,PI + Uncertainty,8,15,40,55,0,40,1.0,16,0.4,2.368029796127997,0.3632193199481186,10.856476588192956,4.226202505576361,-1.9333407148983972,0
1,imperfection_aware,Imperfection-aware,0,15,0,15,40,40,1.0,20,0.5,3.5875638601888924,1.0069265381972443,11.344435804907066,5.50520596703289,-3.505945117283358,0
1,imperfection_aware,Imperfection-aware,1,15,5,20,35,40,1.0,20,0.5,3.3688998346829946,0.9512212871204366,11.344435804907066,5.374507809514153,-3.171890273209519,0
1,imperfection_aware,Imperfection-aware,2,15,10,25,30,40,1.0,19,0.475,3.158958463594158,0.9411825320091968,11.344435804907066,5.115669003135626,-2.9154789094980615,0
1,imperfection_aware,Imperfection-aware,3,15,15,30,25,40,1.0,16,0.4,2.52082448042984,0.3983666202550546,11.953828499481324,4.505805797782617,-2.07961163752381,0
1,imperfection_aware,Imperfection-aware,4,15,20,35,20,40,1.0,15,0.375,2.4860096836481693,0.2784936971334195,11.953828499481324,4.5008865171867,-1.9102518856172104,0
